no,id,sex,age,lact,preg,repstat,KFI,fetsex,fetwt,fetleng,lengwt,ID,Male_tel,Male_marsh,Female_tel,Female_marsh,llarvae,mlarvae,aboscore,aboclass,Eimeria,Tstrong,Nemato,Marsh,Moniez
120,301,f,4,y,y,yy,1.138087153,f,72.3,120.9,0.598014888,301,250,10,1710,10,4600,9600,moderate,3,120,0,0.5,0.5,0
75,219,f,4,y,y,yy,0.656567389,f,56.9,108.5,0.524423963,219,630,170,2010,200,23800,8600,moderate,3,376.75,0.5,1.75,2.25,0
118,298,f,3,n,y,ny,1.319589137,m,100.6,128.6,0.782270607,298,,,,,3700,2100,moderate,3,130,0,0,0,0
2,58,m,0,,,,0.40421897,,,,,58,330,270,950,120,13800,12600,light,2,750,5.75,28,3,0
4,66,m,0,,,,0.976353053,,,,,66,480,80,2240,10,9800,7800,light,2,217.5,0,11.25,2.25,0
7,70,m,0,,,,0.746271665,,,,,70,300,170,930,160,2600,5000,light,2,333.25,0,28.25,8.75,0
18,92,m,0,,,,0.628649289,,,,,92,730,70,1920,30,13100,8300,heavy,4,312.5,0,38.5,5.75,0.5
19,94,m,0,,,,0.328655601,,,,,94,230,60,500,50,5500,4100,light,2,375,0,48.75,5,0
22,99,m,0,,,,1.027933384,,,,,99,400,60,620,60,10100,3000,light,2,73.5,0.25,11,2.25,0.75
23,104,m,0,,,,1.09129466,,,,,104,150,80,630,30,5400,4800,moderate,3,500,0,23.5,1,0
26,111,m,0,,,,0.44,,,,,111,220,80,560,130,2800,0,light,2,42.5,0,25.25,2.75,0
27,112,m,0,,,,0.649190932,,,,,112,50,10,2040,210,,,,,750,1.75,14.25,23.25,0
30,117,m,0,,,,0.635469549,,,,,117,430,60,1160,60,6800,21500,,,312.5,0,34,8.75,0
32,128,m,0,,,,0.75,,,,,128,400,90,700,60,4100,7100,moderate,3,312.5,0,25.75,2.75,0
43,148,m,0,,,,0.903323411,,,,,148,350,140,970,60,9100,2300,moderate,3,1000,0,41,0,0
1,57,m,1,,,,0.644191517,,,,,57,2180,180,4280,260,10100,11800,none,1,1000,1,12.5,5,0
9,77,m,1,,,,0.657869277,,,,,77,2270,450,4150,370,,,none,1,268.75,1.5,14.5,1.5,0
10,78,m,1,,,,0.567347975,,,,,78,3280,280,6950,530,36800,2000,none,1,70,4.75,5.25,3,0
28,114,m,1,,,,0.745302714,,,,,114,4500,890,6190,820,11200,12500,light,2,312.5,1.75,8.5,5.75,0
31,121,m,1,,,,0.510797907,,,,,121,1450,120,3320,100,11300,1400,light,2,75,0.25,12.75,6.75,0
33,129,m,1,,,,0.661691729,,,,,129,1260,390,4820,510,17000,13100,light,2,160,0,1.75,0.75,0
51,163,m,1,,,,0.597949485,,,,,163,2790,130,6190,110,11800,14200,light,2,0,0,0,0,0
55,168,m,1,,,,0.561623992,,,,,168,2770,370,6700,350,17300,600,moderate,3,312.5,1,14.5,6,0
59,179,m,1,,,,0.818573812,,,,,179,1220,150,1600,20,23000,4700,,,750,0,36.75,0.25,0
76,221,m,1,,,,0.657419037,,,,,221,3080,430,6150,450,8700,14800,none,1,105.75,0.25,14,3.25,0
77,222,m,1,,,,1.07049296,,,,,222,,,,,20200,11100,light,2,243.25,3,22,11.75,0
92,255,m,1,,,,0.761294546,,,,,255,1490,340,4390,390,13600,0,moderate,3,375,1.25,4.5,2.25,0
39,143,m,2,,,,0.735512485,,,,,143,120,160,640,120,31300,5400,moderate,3,375,0.5,0.75,0,0
67,196,m,2,,,,1.732195236,,,,,196,120,60,580,40,19000,17900,moderate,3,0,0,0,0,0
80,228,m,2,,,,0.759529176,,,,,228,620,240,2930,240,17200,3500,light,2,123.25,0.25,1,0.25,0
85,236,m,2,,,,1.226778614,,,,,236,70,60,960,80,16200,12500,light,2,312.5,0.75,14,0,0
96,267,m,2,,,,0.923785496,,,,,267,90,50,1100,80,26800,9100,,,98,0.5,3,1.75,0
102,275,m,2,,,,1.391191938,,,,,275,110,100,600,120,68800,36600,moderate,3,28,1.25,0,3,0
103,276,m,2,,,,0.845728941,,,,,276,140,80,470,10,4600,6300,,,87.5,0,0.25,0,0
111,289,m,2,,,,0.99006877,,,,,289,80,110,600,200,29100,5800,,,11.25,0,0.25,1.25,0
